Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Sergey Brin,50,$110B,Technology,Google,Co-founder and Board Member,Alphabet,TRUE,9,2,"Los Altos, California",United States,M,Separated,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park"
Michael Bloomberg,82,$106B,Finance & Investments,Bloomberg LP,CEO,Bloomberg,TRUE,8,4,"New York, New York",United States,M,In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University"
Amancio Ortega,88,$103B,Fashion & Retail,Zara,"Founder, Former Chairman",Inditex Fashion Group,TRUE,,,"La Coruna, Spain",Spain,M,Married,3,N/A
Carlos Slim Helu & family,84,$102B,Telecom,Telecom,Honorary Chairman,América Móvil,TRUE,,,"Mexico City, Mexico",Mexico,M,Widowed,6,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico"
Francoise Bettencourt Meyers & family,70,$99.5B,Fashion & Retail,L'Oréal,Vice Chairman,L'Oréal,FALSE,,,"Paris, France",France,F,Married,2,"Bachelor of Arts, University of Nanterre, Master of Arts, École Normale Supérieure"
Michael Dell,59,$91B,Technology,Dell Technologies,Chairman and CEO,Dell,TRUE,8,2,"Austin, Texas",United States,M,Married,4,"Drop Out, The University of Texas at Austin"
Gautam Adani,61,$84B,Diversified,"Infrastructure, commodities",Chairman,Adani Group,TRUE,,,"Ahmedabad, India",India,M,Married,2,N/A
Jim Walton & family,75,$78.4B,Fashion & Retail,Walmart,Chairman and CEO,"Arvest Bank Group, Inc.",FALSE,2,1,"Bentonville, Arkansas",United States,M,Married,4,"Bachelor of Arts/Science, University of Arkansas"
Rob Walton & family,79,$77.4B,Fashion & Retail,Walmart,Director,Walmart,FALSE,4,1,"Bentonville, Arkansas",United States,M,Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas"
Jensen Huang,61,$77B,Technology,Semiconductors,CEO & President,NVIDIA,TRUE,8,1,"Los Altos, California",United States,M,Married,N/A,"Bachelor of Science in Engineering, Oregon State University; Master of Science in Engineering, Stanford University"
Alice Walton,74,$72.3B,Fashion & Retail,Walmart,Philanthropist,Crystal Bridges Museum of American Art,FALSE,1,2,"Fort Worth, Texas",United States,F,Divorced,N/A,"Bachelor of Arts/Science, Trinity University"
David Thomson & family,66,$67.8B,Media & Entertainment,Media,Chairman,Thomson Reuters Corporation,FALSE,,,"Toronto, Canada",Canada,M,Divorced,4,"Master of Arts, University of Cambridge"
Julia Koch & family,61,$64.3B,Diversified,Koch Industries,President,David H. Koch Foundation,FALSE,1,2,"New York, New York",United States,F,Widowed,3,"Bachelor of Arts/Science, University of Central Arkansas"
Zhong Shanshan,69,$62.3B,Food & Beverage,"Beverages, pharmaceuticals",Founder and Chairman,Nongfu Spring,TRUE,,,"Hangzhou, China",China,M,N/A,1,N/A
Charles Koch & family,88,$58.5B,Diversified,Koch Industries,Chairman and CEO,Koch Industries,FALSE,5,2,"Wichita, Kansas",United States,M,Married,2,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
Giovanni Ferrero,59,$43.8B,Food & Beverage,"Nutella, chocolates",Executive Chairman,Ferrero SpA,FALSE,4,,"Brussels, Belgium",Italy,M,Married,2,Degree
Prajogo Pangestu,79,$43.4B,Diversified,"Petrochemicals, energy",Founder,Barito Pacific Group,FALSE,,,"Jakarta, Indonesia",Indonesia,M,Married,3,N/A
Zhang Yiming,40,$43.4B,Technology,TikTok,Founder,ByteDance,TRUE,,,"Beijing, China",China,M,N/A,N/A,"Bachelor of Engineering, Nankai University"
Tadashi Yanai & family,75,$42.8B,Fashion & Retail,Fashion retail,CEO,Uniqlo,TRUE,,,"Tokyo, Japan",Japan,M,Married,2,"Bachelor of Arts/Science, Waseda University"
Phil Knight & family,86,$40.9B,Fashion & Retail,Nike,Chairman,Nike,TRUE,8,3,"Hillsboro, Oregon",United States,M,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon"
Mark Mateschitz,31,$39.6B,Food & Beverage,Red Bull,Owner,Red Bull GmbH,FALSE,,,"Salzburg, Austria",Austria,M,Single,N/A,"Bachelor of Science, Salzburg University of Applied Sciences"
Klaus-Michael Kuehne,86,$39.2B,Logistics,Shipping,Honorary Chairman,Kuehne + Nagel,FALSE,,,"Schindellegi, Switzerland",Germany,M,Married,N/A,N/A
Colin Huang,44,$38.9B,Technology,E-commerce,Former CEO,PDD Holdings,TRUE,,,"Shanghai, China",China,M,N/A,N/A,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University"
Stephen Schwarzman,77,$38.8B,Finance & Investments,Investments,Chairman and CEO,Blackstone,TRUE,8,2,"New York, New York",United States,M,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University"
Jacqueline Mars,84,$38.5B,Food & Beverage,"Candy, pet food",Owner,"Mars, Incorporated",FALSE,2,,"The Plains, Virginia",United States,F,Divorced,3,"Bachelor of Arts/Science, Bryn Mawr College"
John Mars,88,$38.5B,Food & Beverage,"Candy, pet food",Chairman,"Mars, Incorporated",FALSE,2,,"Jackson, Wyoming",United States,M,Married,3,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University"
Dieter Schwarz,84,$38B,Fashion & Retail,Retail,Former Chairman and CEO,Lidl,FALSE,,,"Neckarsulm, Germany",Germany,M,Married,2,N/A
Li Ka-shing,95,$37.3B,Diversified,Diversified,Senior Advisor,CK Hutchison Holdings,TRUE,,,"Hong Kong, Hong Kong",Hong Kong,M,Widowed,2,"Drop Out, High School"
Shiv Nadar,78,$36.9B,Technology,Software services,Chairman,HCL Enterprise,TRUE,,,"Delhi, India",India,M,Married,1,"Bachelor of Arts/Science, PSG College of Technology"
Alain Wertheimer,75,$36.8B,Fashion & Retail,Chanel,Chairman,Chanel,FALSE,,,"New York, New York",France,M,Married,3,N/A
Gerard Wertheimer,73,$36.8B,Fashion & Retail,Chanel,Co-owner,Chanel,FALSE,,,"New York, New York",France,M,Married,2,N/A
Ken Griffin,55,$36.4B,Finance & Investments,Hedge funds,Founder & CEO,Citadel LLC,TRUE,8,3,"Miami, Florida",United States,M,Divorced,3,"Bachelor of Arts/Science, Harvard University"
MacKenzie Scott,53,$35.6B,Technology,Amazon,Philanthropist,N/A,FALSE,3,5,"Seattle, Washington",United States,F,Divorced,4,"Bachelor of Arts/Science, Princeton University"
Thomas Peterffy,79,$34B,Finance & Investments,Discount brokerage,Former CEO,Interactive Brokers,TRUE,10,1,"Palm Beach, Florida",United States,M,Divorced,3,"Drop Out, New York University"
Reinhold Wuerth & family,88,$33.6B,Manufacturing,Fasteners,Chairman,Adolf Würth Group,TRUE,,,"Kuenzelsau, Germany",Germany,M,Married,3,N/A
William Ding,52,$33.5B,Technology,Online games,CEO,NetEase,TRUE,,,"Hangzhou, China",China,M,N/A,N/A,"Bachelor of Arts/Science, University of Electronic Science and Technology of China"
Savitri Jindal & family,74,$33.5B,Metals & Mining,Steel,Chairman Emeritus,O.P. Jindal Group,FALSE,,,"Hisar, India",India,F,Widowed,9,N/A
Gianluigi Aponte,83,$33.1B,Logistics,Shipping,Executive Chairman,Mediterranean Shipping Company,TRUE,,,"Geneva, Switzerland",Switzerland,M,Married,2,N/A
Rafaela Aponte-Diamant,79,$33.1B,Logistics,Shipping,Founder,Mediterranean Shipping Company,TRUE,,,"Geneva, Switzerland",Switzerland,F,Married,2,N/A
Changpeng Zhao,47,$33B,Finance & Investments,Cryptocurrency exchange,Former CEO,Binance,TRUE,,,"Dubai, United Arab Emirates",Canada,M,N/A,N/A,"Bachelor of Science, McGill University"
Masayoshi Son,66,$32.7B,Finance & Investments,"Telecom, investments",CEO,Softbank,TRUE,,,"Tokyo, Japan",Japan,M,Married,2,"Bachelor of Arts/Science, University of California, Berkeley"
Len Blavatnik,66,$32.1B,Diversified,"Music, chemicals",Founder,Access Industries,TRUE,9,2,"London, United Kingdom",United States,M,Married,N/A,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University"
Miriam Adelson & family,78,$32B,Gambling & Casinos,Casinos,Owner,Las Vegas Sands,FALSE,2,2,"Las Vegas, Nevada",United States,F,Widowed,5,"Bachelor of Science, Hebrew University Jerusalem"
François Pinault & family,87,$31.6B,Fashion & Retail,Luxury goods,CEO,Kering,TRUE,,,"Paris, France",France,M,Married,3,"Drop Out, High School"
Jim Simons,85,$31.4B,Finance & Investments,Hedge funds,Founder,Renaissance Technologies Corp.,TRUE,8,4,"East Setauket, New York",United States,M,Married,3,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley"
Gina Rinehart,70,$30.8B,Metals & Mining,Mining,Executive Chairman,Hancock Prospecting,FALSE,,,"Perth, Australia",Australia,F,Widowed,4,N/A
Ma Huateng,52,$30.2B,Technology,Online games,Chairman and CEO,Tencent Holdings,TRUE,,,"Shenzhen, China",China,M,Married,N/A,"Bachelor of Arts/Science, Shenzhen University"
Abigail Johnson,62,$29B,Finance & Investments,Fidelity,Chairman & CEO,Fidelity Investments,FALSE,4,1,"Milton, Massachusetts",United States,F,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith"
Vagit Alekperov,73,$28.6B,Energy,Oil,President,Lukoil,TRUE,,,"Moscow, Russia",Russia,M,Married,1,"Master of Science in Engineering, Azerbaijan Institute of Oil and Chemistry"
Eduardo Saverin,42,$28B,Technology,Facebook,Investor,Meta Platforms,TRUE,,,"Singapore, Singapore",Brazil,M,Married,1,"Bachelor of Arts/Science, Harvard University"
Lukas Walton,37,$28B,Fashion & Retail,Walmart,Co-owner,Walmart,FALSE,1,1,"Chicago, Illinois",United States,M,Married,N/A,"Bachelor of Arts/Science, Colorado College"
Germán Larrea Mota Velasco & family,70,$27.9B,Metals & Mining,Mining,Chairman and CEO,Grupo México,FALSE,,,"Mexico City, Mexico",Mexico,M,Married,N/A,"Bachelor of Arts/Science, Universidad Anáhuac México Sur"
Lee Shau Kee,96,$27.7B,Real Estate,Real estate,Founder and Chairman,Henderson Land Development,TRUE,,,"Hong Kong, Hong Kong",Hong Kong,M,Divorced,5,N/A
Jeff Yass,65,$27.6B,Finance & Investments,"Trading, investments",Co-founder,Susquehanna International Group,TRUE,8,1,"Haverford, Pennsylvania",United States,M,Married,4,"Bachelor of Science, SUNY Binghamton"
Andrea Pignataro,53,$27.5B,Finance & Investments,Financial software,Founder and CEO,ION Investment Group,TRUE,,,"St. Moritz, Switzerland",Italy,M,Married,N/A,"Bachelor of Arts/Science, University of Bologna, Doctor of Philosophy, Imperial College London"
Low Tuck Kwong,75,$27.4B,Energy,Coal,Founder and Chairman,Bayan Resources,TRUE,,,"Jakarta, Indonesia",Indonesia,M,Married,2,"Diploma in Civil Engineering, Japan Institute"
Leonid Mikhelson & family,68,$27.4B,Energy,"Gas, chemicals",Founder and Chairman,Novatek,TRUE,,,"Moscow, Russia",Russia,M,Married,2,"Master of Science in Engineering, Kuybyshev Engineering and Construction Institute"
Stefan Quandt,57,$27.3B,Automotive,BMW,Co-owner,BMW,FALSE,,,"Frankfurt, Germany",Germany,M,Married,1,"Associate in Arts/Science, Technical University of Karlsruhe"
Dilip Shanghvi,68,$26.7B,Healthcare,Pharmaceuticals,Founder and Managing Director,Sun Pharmaceutical Industries,TRUE,,,"Mumbai, India",India,M,Married,2,"Bachelor of Arts/Science, Calcutta University"
Vladimir Lisin,67,$26.6B,Metals & Mining,"Steel, transport",Chairman,NLMK Group,TRUE,,,"Moscow, Russia",Russia,M,Married,3,"Doctorate, Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute"
R. Budi Hartono,83,$26.5B,Finance & Investments,"Banking, tobacco",Co-founder,Djarum Group,FALSE,,,"Kudus, Indonesia",Indonesia,M,Married,3,N/A
Susanne Klatten,61,$26.5B,Automotive,"BMW, pharmaceuticals",Co-Owner,BMW,FALSE,,,"Bad Homburg, Germany",Germany,F,Married,3,"Master of Business Administration, International Institute for Management and Development"
"Thomas Frist, Jr. & family",85,$26.2B,Healthcare,Hospitals,Co-founder,Hospital Corporation of America (HCA),TRUE,7,1,"Nashville, Tennessee",United States,M,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University"
Daniel Gilbert,62,$26.2B,Finance & Investments,Quicken Loans,Founder and Chairman,Quicken Loans,TRUE,8,2,"Franklin, Michigan",United States,M,Married,5,"Bachelor of Arts/Science, Michigan State University; Bachelor of Laws, Wayne State University"
Iris Fontbona & family,81,$25.7B,Metals & Mining,Mining,Owner,Antofagasta PLC,FALSE,,,"Santiago, Chile",Chile,F,Widowed,3,N/A
Emmanuel Besnier,53,$25.5B,Food & Beverage,Cheese,Chairman,Lactalis Group,FALSE,,,"Laval, France",France,M,N/A,N/A,"Bachelor of Science, ISG Business School"
Michael Hartono,84,$25.5B,Manufacturing,"Banking, tobacco",Co-founder,Djarum Group,FALSE,,,"Kudus, Indonesia",Indonesia,M,Married,4,"Drop Out, Diponegoro University"
Alexey Mordashov & family,58,$25.5B,Metals & Mining,"Steel, investments",Chairman,Severstal,TRUE,,,"Moscow, Russia",Russia,M,Married,7,"Master of Science in Engineering, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria"
"John Menard, Jr.",84,$25.2B,Fashion & Retail,Home improvement stores,Founder,"Menard, Inc.",TRUE,9,1,"Eau Claire, Wisconsin",United States,M,Married,6,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire"
He Xiangjian & family,81,$25.1B,Manufacturing,Home appliances,Founder and Chairman,Midea Group,TRUE,,,"Foshan, China",China,M,Married,3,N/A
Jack Ma,59,$24.5B,Technology,E-commerce,Co-founder,Alibaba Group,TRUE,,,"Hangzhou, China",China,M,Married,N/A,"Bachelor of Arts/Science, Hangzhou Teacher's Institute"
Elaine Marshall & family,81,$24.5B,Diversified,Koch Industries,Owner,Koch Industries,FALSE,,,"Dallas, Texas",United States,F,N/A,2,"Bachelor of Arts/Science, East Texas Baptist College"
Autry Stephens,86,$24.3B,Energy,Oil,Founder,"Endeavor Energy Resources, LP",TRUE,9,,"Midland, Texas",United States,M,Married,2,"Master of Science, University of Texas, Austin"
Eyal Ofer,73,$24B,Diversified,"Real estate, shipping",Chairman,Zodiac Maritime,FALSE,,,"Monte Carlo, Monaco",Israel,M,Married,4,N/A
Vladimir Potanin,63,$23.7B,Metals & Mining,Metals,Chairman,Interros,TRUE,,,"Moscow, Russia",Russia,M,Married,7,"Masters in Finance, Moscow Institute of International Relations"
Gennady Timchenko,71,$23.4B,Energy,"Oil, gas",Founder,Volga Group,TRUE,,,"Moscow, Russia",Russia,M,Married,3,"Master of Science in Engineering, Leningrad Mechanical Institute"
Takemitsu Takizaki,78,$23.1B,Manufacturing,Sensors,Founder,Keyence,TRUE,,,"Osaka, Japan",Japan,M,Married,N/A,N/A
Vinod Adani,75,$23B,Diversified,"Infrastructure, commodities",Co-owner,Adani Enterprises,TRUE,,,"Dubai, United Arab Emirates",Cyprus,M,Married,N/A,N/A
Robin Zeng,55,$22.9B,Automotive,Batteries,Chairman,CATL,TRUE,,,"Ningde, China",Hong Kong,M,N/A,N/A,"Doctorate, Chinese Academy of Social Sciences"
Cyrus Poonawalla,82,$21.3B,Healthcare,Vaccines,Managing Director,Serum Institute of India,FALSE,,,"Pune, India",India,M,Widowed,1,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University"
Andrey Melnichenko & family,52,$21.1B,Metals & Mining,"Fertilizers, coal",Founder,EuroChem Group,TRUE,,,"Ras Al Khaimah, United Arab Emirates",Russia,M,Married,2,"Master of Science, Plekhanov Russian University of Economics"
Diane Hendricks,77,$20.9B,Construction & Engineering,Building supplies,Co-founder,ABC Supply,TRUE,9,1,"Afton, Wisconsin",United States,F,Widowed,7,"Diploma, High School"
Kushal Pal Singh,92,$20.9B,Real Estate,Real estate,Chairman and CEO,DLF Limited,FALSE,,,"London, United Kingdom",India,M,Widowed,3,"Bachelor of Arts/Science, Delhi University"
Vicky Safra & family,71,$20.6B,Finance & Investments,Banking,Co-owner,Safra Group,FALSE,,,"Crans-Montana, Switzerland",Brazil,F,Widowed,4,N/A
Eric Schmidt,68,$20.6B,Technology,Google,Former CEO,Google,TRUE,6,3,"Atherton, California",United States,M,Married,2,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley"
David Tepper,66,$20.6B,Finance & Investments,Hedge funds,President and Founder,Appaloosa Management,TRUE,8,2,"Palm Beach, Florida",United States,M,Married,3,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh"
Steve Cohen,67,$19.8B,Finance & Investments,Hedge funds,Founder,Point72 Asset Management,TRUE,8,3,"Greenwich, Connecticut",United States,M,Married,7,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
Kumar Birla,56,$19.7B,Diversified,Commodities,Chairman,Aditya Birla Group,FALSE,,,"Mumbai, India",India,M,Married,3,"Master of Business Administration, London Business School; Bachelor of Arts/Science, University of Mumbai"
Rick Cohen & family,71,$19.6B,Technology,Warehouse automation,Former CEO,C&S Wholesale Grocers,FALSE,5,,"Keene, New Hampshire",United States,M,Married,3,"Bachelor of Science, University of Pennsylvania"
Rupert Murdoch & family,93,$19.5B,Media & Entertainment,"Newspapers, TV network",Chairman and CEO,News Corp,FALSE,5,1,"New York, New York",United States,M,Married,6,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University"
Andrew Forrest & family,62,$19B,Metals & Mining,Mining,Founder,Fortescue Metals Group,TRUE,,,"Perth, Australia",Australia,M,Separated,3,"Bachelor of Arts/Science, University of Western Australia; Doctorate, University of Western Australia"
Harold Hamm & family,78,$18.5B,Energy,Oil & gas,Chairman and CEO,Continental Resources,TRUE,10,1,"Oklahoma City, Oklahoma",United States,M,Divorced,5,"Diploma, High School"
Dustin Moskovitz,39,$18.3B,Technology,Facebook,Co-founder,Asana,TRUE,8,4,"San Francisco, California",United States,M,Married,N/A,"Drop Out, Harvard University"
Donald Bren,91,$18B,Real Estate,Real estate,Chairman,Irvine Company,TRUE,8,4,"Newport Beach, California",United States,M,Married,7,"Bachelor of Arts/Science, University of Washington"
Renata Kellnerova & family,56,$18B,Finance & Investments,"Finance, telecommunications",Owner,PPF Group,FALSE,,,"Prague, Czech Republic",Czech Republic,F,Widowed,4,N/A
Michael Platt,56,$18B,Finance & Investments,Hedge funds,Founder,BlueCrest Capital Management,TRUE,,,"Geneva, Switzerland",United Kingdom,M,N/A,N/A,"Bachelor of Arts/Science, London School of Economics; Bachelor of Arts/Science, London School of Economics"
Radhakishan Damani,69,$17.6B,Fashion & Retail,"Retail, investments",Founder and Chairman,Avenue Supermarts Limited,TRUE,,,"Mumbai, India",India,M,Married,3,N/A
John Fredriksen,79,$16.9B,Logistics,Shipping,Investor,N/A,TRUE,,,"London, United Kingdom",Cyprus,M,Widowed,2,N/A
Eric Li,60,$16.8B,Automotive,Automobiles,Founder,Guancha.cn,TRUE,,,"Hangzhou, China",China,M,Married,2,"Master of Science, Yanshan University"
Stefan Persson,76,$16.6B,Fashion & Retail,H&M,Chairman,Hennes & Mauritz Unsponsored ADR,FALSE,,,"Stockholm, Sweden",Sweden,M,Married,3,"Associate in Arts/Science, University of Stockholm"
James Ratcliffe,71,$16.5B,Manufacturing,Chemicals,CEO,Ineos,TRUE,,,"London, United Kingdom",United Kingdom,M,Married,N/A,"Bachelor of Science, University of Birmingham, Master of Business Administration, London Business School"
Harry Triguboff,91,$16.5B,Real Estate,Real estate,Managing Director,Meriton,TRUE,,,"Sydney, Australia",Australia,M,Married,2,"Bachelor of Arts/Science, University of Leeds"
Jorge Paulo Lemann & family,84,$16.4B,Food & Beverage,Beer,"Investor, Philanthropist",N/A,TRUE,,,"Zurich, Switzerland",Brazil,M,Married,5,"Bachelor of Arts/Science, Harvard University"
Lakshmi Mittal,73,$16.4B,Metals & Mining,Steel,Executive Chairman,ArcelorMittal,FALSE,,,"London, United Kingdom",India,M,Married,2,"Bachelor of Arts/Science, St Xavier's College Calcutta"
Ravi Jaipuria,69,$16.2B,Food & Beverage,"Soft drinks, fast food",Chairman,Varun Beverages,FALSE,,,"Delhi, India",India,M,Married,2,N/A
Stanley Kroenke,76,$16.2B,Sports,"Sports, real estate",Owner,Kroenke Sports & Entertainment,TRUE,7,1,"Electra, Texas",United States,M,Married,2,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri"
Jan Koum,48,$16.1B,Technology,WhatsApp,"CEO, Co-founder",WhatsApp Inc.,TRUE,10,2,"Atherton, California",United States,M,Single,N/A,"Drop Out, San Jose State University"
Karl Albrecht Jr. & family,76,$15.9B,Fashion & Retail,Supermarkets,Owner,Aldi,FALSE,,,Germany,Germany,M,N/A,N/A,N/A
Beate Heister,73,$15.9B,Fashion & Retail,Supermarkets,Owner,Aldi,FALSE,,,N/A,Germany,F,N/A,N/A,N/A
Idan Ofer,68,$15.8B,Diversified,Shipping,Founder,Quantum Pacific Group,FALSE,,,"London, United Kingdom",Israel,M,Married,5,"Bachelor of Science, University of Haifa; Master of Business Administration, London Business School"
Nicolas Puech,81,$15.6B,Fashion & Retail,Hermès,Owner,Hermès,FALSE,,,"Martigny, Switzerland",France,M,N/A,N/A,N/A
Pavel Durov,39,$15.5B,Technology,Telegram,CEO and Founder,Telegram,TRUE,,,"Dubai, United Arab Emirates",United Arab Emirates,M,Single,2,"Master of Science, Saint Petersburg State University"
Qin Yinglin,58,$15.5B,Food & Beverage,Pig breeding,Chair and President,Muyuan Foodstuff,TRUE,,,"Nanyang, China",China,M,Married,1,"Bachelor of Science, Henan Agricultural University"
Ray Dalio,74,$15.4B,Finance & Investments,Hedge funds,Founder & CIO Mentor,Bridgewater Associates,TRUE,8,3,"Greenwich, Connecticut",United States,M,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University"
Philip Anschutz,84,$15.3B,Finance & Investments,"Energy, sports, entertainment",Founder,Anschutz Entertainment Group,FALSE,5,3,"Denver, Colorado",United States,M,Married,3,"Bachelor of Arts/Science, University of Kansas"
Leonard Lauder,91,$15.1B,Fashion & Retail,Estee Lauder,Chairman Emeritus,The Estée Lauder Companies,FALSE,5,3,"New York, New York",United States,M,"Widowed, Remarried",2,"Bachelor of Arts/Science, University of Pennsylvania"
Li Xiting,73,$15.1B,Healthcare,medical devices,Chairman and CEO,Mindray,TRUE,,,"Shenzhen, China",Singapore,M,N/A,N/A,"Bachelor of Science, University of Science and Technology of China"
Peter Woo,77,$15.1B,Real Estate,Real estate,Former Chairman,Wheelock and Company Limited,FALSE,,,"Hong Kong, Hong Kong",Hong Kong,M,Married,3,"Master of Business Administration, Columbia Business School"
Andreas von Bechtolsheim & family,68,$14.8B,Technology,Google,"Co-founder, Chief Development Officer and Chairman",Arista Networks,TRUE,,,"Palo Alto, California",Germany,M,Single,N/A,"Master of Science, Carnegie Mellon University"
George Kaiser,81,$14.6B,Energy,"Oil & gas, banking",Chairman,BOK Financial,FALSE,5,4,"Tulsa, Oklahoma",United States,M,Married,3,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University"
Wang Chuanfu,58,$14.2B,Automotive,"Batteries, automobiles",Founder,BYD,TRUE,,,"Shenzhen, China",China,M,Married,N/A,"Master of Science, Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology"
Charlene de Carvalho-Heineken & family,69,$14.1B,Food & Beverage,Heineken,Executive Director,Heineken Holding NV,FALSE,,,"London, United Kingdom",Netherlands,F,Married,5,"Drop Out, University of Leiden"
David Duffield,83,$14.1B,Technology,Business software,Chairman and Co-founder,Workday,TRUE,8,3,"Incline Village, Nevada",United States,M,Married,10,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
Henry Samueli,69,$14.1B,Technology,Semiconductors,"Co-founder, Chief Technology Officer and Chairman",Broadcom,TRUE,9,2,"Newport Beach, California",United States,M,Married,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles"
"Theo Albrecht, Jr. & family",73,$14B,Fashion & Retail,"Aldi, Trader Joe's",Owner,Trader Joe’s and Aldi Nord,FALSE,,,"Mulheim an der Ruhr, Germany",Germany,M,N/A,1,N/A
Leon Black,72,$14B,Finance & Investments,Private equity,Former CEO,Apollo Global Management,TRUE,8,2,"New York, New York",United States,M,Married,4,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University"
Jerry Jones,81,$13.8B,Sports,Dallas Cowboys,President and General Manager,Dallas Cowboys,TRUE,8,1,"Dallas, Texas",United States,M,Married,3,"Bachelor of Arts/Science, University of Arkansas; Master of Arts, University of Arkansas"
Wang Wei,53,$13.8B,Service,Package delivery,Founder and Chairman,SF Express,TRUE,,,"Shenzhen, China",China,M,N/A,N/A,N/A
David Green & family,82,$13.7B,Fashion & Retail,Retail,CEO,Hobby Lobby,TRUE,10,2,"Oklahoma City, Oklahoma",United States,M,Married,3,"Diploma, High School"
James Dyson,76,$13.6B,Manufacturing,Vacuums,Founder,Dyson Ltd.,TRUE,,,"Gloucestershire, United Kingdom",United Kingdom,M,Married,3,N/A
